author,author_sex,author_work_count,rating_count,log_author_work_count,bins
elise kova,female,30,11958.0,1.4771212547196624,budding
elise sax,female,58,1206.0,1.7634279935629373,experienced
elise stokes,female,7,736.6666666666666,0.8450980400142568,newbie
eliseo alberto,male,17,318.0,1.2304489213782739,budding
elissa schappell,female,18,2663.0,1.255272505103306,budding
elissa wall,female,2,25087.0,0.3010299956639812,newbie
eliyahu m. goldratt,male,26,28417.5,1.414973347970818,budding
eliza crewe,female,5,6188.0,0.6989700043360189,newbie
eliza granville,female,10,1994.0,1.0,newbie
eliza orzeszkowa,female,72,1793.0,1.8573324964312685,experienced
elizabeth a. lynn,female,44,415.0,1.6434526764861874,experienced
elizabeth adler,female,38,1489.0,1.5797835966168101,experienced
elizabeth bard,female,5,15045.0,0.6989700043360189,newbie
elizabeth berg,female,51,21560.333333333332,1.7075701760979363,experienced
elizabeth bowen,female,137,6481.0,2.1367205671564067,legendary
elizabeth brundage,female,7,6530.0,0.8450980400142568,newbie
elizabeth byrd,female,14,210.0,1.146128035678238,budding
elizabeth c. bunce,female,9,9447.5,0.9542425094393249,newbie
elizabeth camden,female,22,4166.0,1.3424226808222062,budding
elizabeth chadwick,female,37,3145.8,1.568201724066995,experienced
elizabeth chandler,female,43,8062.222222222223,1.6334684555795864,experienced
elizabeth coatsworth,female,114,5560.0,2.0569048513364727,legendary
elizabeth cody kimmel,female,58,344.0,1.7634279935629373,experienced
elizabeth craft,female,19,2363.0,1.2787536009528289,budding
elizabeth david,female,47,1950.0,1.6720978579357175,experienced
elizabeth edmondson,female,22,3293.0,1.3424226808222062,budding
elizabeth elgin,female,26,142.0,1.414973347970818,budding
elizabeth elliott,female,20,332.0,1.3010299956639813,budding
elizabeth enright,female,28,170.0,1.4471580313422192,budding
elizabeth eulberg,female,19,18481.25,1.2787536009528289,budding
elizabeth finn,female,16,5911.0,1.2041199826559248,budding
elizabeth flock,female,7,11062.5,0.8450980400142568,newbie
elizabeth forsythe hailey,female,8,3152.0,0.9030899869919435,newbie
elizabeth gaskell,female,514,34756.0,2.710963118995276,legendary
elizabeth george,female,172,13790.235294117647,2.2355284469075487,legendary
elizabeth george speare,female,18,46690.0,1.255272505103306,budding
elizabeth gilbert,female,38,344990.6,1.5797835966168101,experienced
